company,current_price,liquidity,ev,sector,segment,profit_last_year,profit_2y,profit_3y,profit_4y,profit_5y,ebit,payout (%),divida_EBITDA,divida_EBITDA_1y,divida_EBITDA_2y,divida_EBITDA_3y,divida_EBITDA_4y,divida_EBITDA_5y,roe (%),roe_1y (%),roe_2y (%),roe_3y (%),roe_4y (%),roe_5y (%),roic (%),vpa,lpa,pl,pl_1y,pl_2y,pl_3y,pl_4y,pl_5y,ev_ebit,cagr (%),cagr_1y (%),cagr_2y (%),cagr_3y (%),cagr_4y (%),cagr_5y (%),pvp,pvp_1y,pvp_2y,pvp_3y,pvp_4y,pvp_5y,dy (%)
LIGHT - LIGT3,6.98,7504000,-989580000,Utilidade Pública,Energia Elétrica, 1545821000, 255161000, -5672196000,-999999,-999999,1264911000,0.00,-1.63,3.97,3.68,-7.29,-999999,-999999,41.18,29.62,8.24,-199.39,-999999,-999999,21.97,15.14,6.23,1.12,0.98,11.68,-0.30,-999999,-999999,-0.78,27.40,3.09,9.01,-999999,-999999,-999999,0.46,0.29,0.96,0.61,-999999,-999999,0.00
METALÚRGICA GERDAU - GOAU4,8.94,72514000,16496427000,Materiais Básicos,Siderurgia, 4610512000, 7585094000, 11462270000,-999999,-999999,6106128000,30.25,0.81,0.50,0.39,0.32,-999999,-999999,5.74,7.71,15.28,22.72,-999999,-999999,15.14,19.58,1.12,7.95,6.59,4.21,3.45,-999999,-999999,2.70,6.79,30.96,27.62,-999999,-999999,-999999,0.46,0.51,0.64,0.78,-999999,-999999,3.81
JHSF - JHSF3,5.30,14440000,6871318000,Consumo Cíclico,Incorporações, 861546000, 497865000, 632100000,-999999,-999999,1559221000,23.73,2.00,2.28,2.67,2.24,-999999,-999999,18.55,15.78,9.41,13.42,-999999,-999999,12.17,8.44,1.57,3.38,2.92,8.39,5.21,-999999,-999999,4.41,10.62,21.40,20.56,-999999,-999999,-999999,0.63,0.46,0.79,0.70,-999999,-999999,7.12
CEMIG - CMIG4,10.44,95362000,45001240000,Utilidade Pública,Energia Elétrica, 7119287000, 5766835000, 4094367000,-999999,-999999,9658637000,78.31,0.95,0.89,0.88,1.08,-999999,-999999,25.09,26.00,23.39,18.79,-999999,-999999,17.60,9.75,2.45,4.27,4.47,4.38,5.99,-999999,-999999,4.66,19.58,17.88,27.06,32.53,-999999,-999999,1.07,1.16,1.03,1.13,-999999,-999999,17.84
JBS - JBSS3,0.00,1118412000,118596759000,Consumo não Cíclico,Carnes e Derivados, 10703993000, -729145000, 16201265000,-999999,-999999,25411853000,47.82,2.25,2.39,4.61,8.01,-999999,-999999,25.15,21.47,-2.45,33.35,-999999,-999999,13.00,49.88,12.55,3.11,3.28,-20.38,1.24,-999999,-999999,4.67,21.15,10.88,-999999,73.67,-999999,-999999,0.78,0.70,0.50,0.41,-999999,-999999,15.37
ANIMA - ANIM3,4.17,26059000,4466411000,Consumo Cíclico,Serviços Educacionais, 204466000, -213173000, 11454000,-999999,-999999,878571000,182.11,2.13,2.28,3.78,4.42,-999999,-999999,4.91,3.75,-13.71,-3.70,-999999,-999999,13.11,5.87,0.29,14.47,7.49,-5.46,-15.25,-999999,-999999,5.08,-999999,-999999,-999999,-33.05,-999999,-999999,0.71,0.28,0.75,0.56,-999999,-999999,12.80
VIBRA ENERGIA S.A. - VBBR3,21.85,152457000,45327150000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição", 6367000000, 4766000000, 1537000000,-999999,-999999,8745000000,23.64,2.22,1.11,1.09,2.93,-999999,-999999,30.13,31.23,30.30,12.19,-999999,-999999,14.38,18.37,5.53,3.95,3.14,5.34,11.32,-999999,-999999,5.18,9.61,23.56,8.34,5.95,-999999,-999999,1.19,0.98,1.62,1.38,-999999,-999999,8.30
VALID - VLID3,25.02,7430000,2003334000,Bens Industriais,Serviços Diversos, 379595000, 210621000, 36510000,-999999,-999999,375787000,40.69,-0.09,0.02,0.56,1.50,-999999,-999999,17.51,21.22,16.43,1.98,-999999,-999999,14.06,21.39,3.74,6.68,5.22,7.87,30.71,-999999,-999999,5.33,-999999,47.84,16.05,5.63,-999999,-999999,1.17,1.11,1.29,0.61,-999999,-999999,10.59
ISA ENERGIA BRASIL - ISAE4,23.21,35921000,28838110000,Utilidade Pública,Energia Elétrica, 3552731000, 2892362000, 2319790000,-999999,-999999,5304934000,43.59,2.19,1.91,1.89,1.93,-999999,-999999,17.48,17.75,16.35,13.98,-999999,-999999,13.24,30.98,5.42,4.29,4.33,6.15,6.70,-999999,-999999,5.44,1.37,14.80,8.98,11.18,-999999,-999999,0.75,0.77,1.00,0.94,-999999,-999999,10.23
KEPLER WEBER - KEPL3,8.03,10214000,1388547000,Bens Industriais,Máquinas e Equipamentos Industriais, 199183000, 245214000, 382472000,-999999,-999999,251889000,85.83,-0.19,-0.28,-0.47,-0.40,-999999,-999999,24.17,26.89,33.77,64.04,-999999,-999999,17.24,3.97,0.96,8.36,8.40,8.01,4.73,-999999,-999999,5.51,20.60,39.60,96.93,-999999,-999999,-999999,2.02,2.26,2.70,3.03,-999999,-999999,10.31
PETROBRÁS - PETR4,31.38,1180971000,752083638000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição", 37009000000, 125166000000, 189005000000,-999999,-999999,136214000000,153.59,1.86,1.88,0.89,0.62,-999999,-999999,12.16,10.00,32.75,51.68,-999999,-999999,14.47,30.71,3.73,8.41,12.74,3.85,1.68,-999999,-999999,5.52,50.67,-2.01,36.21,246.76,-999999,-999999,1.02,1.27,1.26,0.87,-999999,-999999,17.40
VALE - VALE3,50.72,839654000,300253464000,Materiais Básicos,Minerais Metálicos, 30431000000, 40554000000, 96337000000,-999999,-999999,53619000000,68.61,0.99,0.90,0.62,0.36,-999999,-999999,15.57,15.28,20.91,51.27,-999999,-999999,16.32,44.52,6.93,7.32,7.84,8.77,4.21,-999999,-999999,5.60,3.98,-999999,9.54,40.38,-999999,-999999,1.14,1.20,1.83,2.16,-999999,-999999,9.43
BRF - BRFS3,20.91,180852000,42145580000,Consumo não Cíclico,Carnes e Derivados, 3691904000, -1868855000, -3141635000,-999999,-999999,7472623000,30.93,0.63,0.84,2.79,9.41,-999999,-999999,23.89,21.30,-13.59,-28.10,-999999,-999999,16.65,9.54,2.28,9.18,13.28,-11.45,-4.40,-999999,-999999,5.64,25.23,65.20,-999999,-999999,-999999,-999999,2.19,2.83,1.56,1.24,-999999,-999999,3.25
