company,current_price,liquidity,sector,segment,profit_last_year,profit_2y,profit_3y,profit_4y,profit_5y,payout (%),divida_EBITDA,divida_EBITDA_1y,divida_EBITDA_2y,divida_EBITDA_3y,divida_EBITDA_4y,divida_EBITDA_5y,roe (%),roe_1y (%),roe_2y (%),roe_3y (%),roe_4y (%),roe_5y (%),roic (%),vpa,lpa,pl,pl_1y,pl_2y,pl_3y,pl_4y,pl_5y,ev_ebit,cagr (%),cagr_1y (%),cagr_2y (%),cagr_3y (%),cagr_4y (%),cagr_5y (%),pvp,pvp_1y,pvp_2y,pvp_3y,pvp_4y,pvp_5y,dy (%)
TECNOSOLO - TCNO3,1.00,-,Bens Industriais,Engenharia Consultiva, -632000, -950000, -380000, -1170000, -14560000,0.00,-,-,-,-,-,-,-122.30,-109.43,-1703.60,-,-,-,-3.52,-0.14,-0.17,-5.72,-19.69,-16.45,-,-,-,-41.19,-,-,-,-,-,-,-7.00,-21.55,280.18,-,-,-,0.00
CCR - CCRO3,13.20,158290000,Bens Industriais,Exploração de Rodovias, 1311615000, 1860446000, 4212180000, 805590000, 86100000,67.41,3.88,3.88,3.05,1.78,3.09,3.07,9.18,9.18,13.63,36.05,8.42,2.47,9.86,6.74,0.62,21.35,16.45,16.86,5.29,33.66,142.44,9.92,72.41,-1.66,23.94,18.76,-13.23,-35.76,1.96,1.51,2.30,1.91,2.83,3.51,2.35
MARCOPOLO - POMO4,6.83,96904000,Bens Industriais,Material Rodoviário, 1222377000, 810811000, 436800000, 358380000, 90710000,55.72,0.71,0.71,0.93,2.80,3.14,3.27,29.88,29.88,23.02,14.75,12.62,4.07,16.61,3.54,1.06,6.45,6.97,8.18,5.97,7.88,26.17,5.69,68.23,41.96,33.54,39.70,10.00,0.36,1.93,2.08,1.88,0.88,0.99,1.06,8.64
RANDON - RAPT4,9.21,38054000,Bens Industriais,Material Rodoviário, 691696000, 663489000, 666410000, 884710000, 833310000,29.32,2.75,2.75,1.58,1.52,1.37,2.82,12.65,12.65,13.74,17.19,27.69,32.46,9.64,9.81,1.24,7.43,7.98,11.04,5.73,5.13,7.96,5.78,-3.66,18.14,23.94,44.79,-,-,0.94,1.01,1.52,0.99,1.42,2.58,3.95
FRAS-LE - FRAS3,28.79,6584000,Bens Industriais,Material Rodoviário, 374703000, 388731000, 203339000, 210620000, 182040000,47.77,0.37,0.37,-0.27,-0.32,2.65,2.93,16.57,16.57,20.53,11.61,19.38,20.02,10.53,8.22,1.36,21.14,15.05,12.16,12.67,17.09,14.51,15.46,15.53,62.77,34.43,25.95,26.71,28.25,3.50,2.49,2.50,1.47,3.31,2.90,1.80
WEG - WEGE3,49.89,309314000,Bens Industriais,"Motores, Compressores e Outros", 6318763000, 5867615000, 4272870000, 3657480000, 2395960000,52.83,-0.52,-0.52,-0.60,-0.27,-0.31,-0.86,27.21,27.21,33.05,28.37,26.36,20.24,23.65,5.29,1.44,34.65,36.66,27.03,38.41,38.60,67.90,26.66,21.40,31.09,34.28,30.22,26.53,15.50,9.43,9.98,8.93,10.90,10.17,13.75,1.57
KEPLER WEBER - KEPL3,7.99,12977000,Bens Industriais,Máquinas e Equipamentos Industriais, 199183000, 245214000, 382472000, 154630000, 67660000,74.39,-0.28,-0.28,-0.47,-0.40,-0.32,-2.43,26.89,26.89,33.77,64.04,33.50,13.07,18.75,4.12,1.11,7.21,8.40,8.01,4.73,7.58,16.82,4.65,24.10,39.60,96.93,-,-,61.08,1.94,2.26,2.70,3.03,2.54,2.20,10.32
FERROVIA CENTRO-ATLÂNTICA S.A. - VSPT3,5.00,-,Bens Industriais,Transporte Ferroviário, -906655000, -2541653000, -416480000, -113640000, -98650000,0.00,1.62,3.34,-1.05,-0.24,-0.35,-,-41.10,-84.25,-128.19,-1.39,-2.21,-,-13.28,9.52,-3.91,-1.28,-0.79,-0.28,-3.41,-1.89,-,-4.65,-,-,-,-,-,-,0.53,0.66,0.36,0.05,0.04,-,0.00
TEGMA GESTÃO LOGÍSTICA - TGMA3,36.31,8333000,Bens Industriais,Transporte Rodoviário, 270612000, 181912000, 159662000, 107790000, 73520000,63.11,-0.16,-0.16,-0.24,-0.16,0.35,2.06,29.28,29.28,21.72,20.79,15.87,11.77,23.84,13.96,4.09,8.88,7.00,10.29,8.03,9.54,24.18,6.33,29.77,6.89,10.94,9.00,50.79,49.24,2.60,2.05,2.24,1.67,1.51,2.85,7.11
JSL - JSLG3,6.81,3892000,Bens Industriais,Transporte Rodoviário, 207312000, 351783000, 194160000, 272550000, 131310000,58.10,3.34,3.34,3.22,4.99,3.94,2.56,11.71,11.71,20.99,13.74,20.46,16.95,11.64,6.18,0.72,9.41,7.47,10.14,8.13,7.96,17.16,6.64,9.56,-8.24,13.21,63.30,-,22.94,1.10,0.88,2.13,1.12,1.63,2.91,6.17
VIVARA - VIVA3,21.14,66866000,Consumo Cíclico,Acessórios, 653393000, 369244000, 360853000, 298490000, 146671000,13.48,0.14,0.14,-0.06,-0.18,0.79,1.48,26.17,26.17,19.10,21.76,21.43,12.52,22.67,10.57,2.77,7.64,6.96,21.91,14.68,20.13,47.44,7.47,34.82,20.43,-,-,-,-,2.00,1.82,4.18,3.20,4.31,5.94,4.89
LOCALIZA - RENT3,42.81,369905000,Consumo Cíclico,Aluguel de carros, 1813310000, 1803090000, 1841200000, 2043680000, 1048180000,94.66,2.80,2.80,2.88,4.20,3.36,4.25,6.89,6.89,7.11,8.97,26.84,17.32,8.09,24.32,1.68,25.55,19.22,38.13,31.23,28.08,71.22,13.73,11.59,16.81,22.29,29.49,37.93,21.10,1.76,1.32,2.71,2.80,7.54,12.34,3.87
MAHLE-METAL LEVE - LEVE3,30.79,11029000,Consumo Cíclico,Automóveis e Motocicletas, 541204000, 747778000, 562364000, 566620000, 122220000,58.58,0.73,0.73,0.59,0.04,-0.11,-0.13,70.45,70.45,82.19,35.94,33.06,9.24,38.78,5.67,3.99,7.71,6.87,6.40,7.38,7.36,22.82,5.61,34.66,16.10,20.60,20.14,167.20,-6.62,5.43,4.84,5.26,2.65,2.43,2.11,7.67
