company,current_price,liquidity,ev,sector,segment,profit_last_year,profit_2y,profit_3y,profit_4y,profit_5y,ebit,payout (%),divida_EBITDA,divida_EBITDA_1y,divida_EBITDA_2y,divida_EBITDA_3y,divida_EBITDA_4y,divida_EBITDA_5y,roe (%),roe_1y (%),roe_2y (%),roe_3y (%),roe_4y (%),roe_5y (%),roic (%),vpa,lpa,pl,pl_1y,pl_2y,pl_3y,pl_4y,pl_5y,ev_ebit,cagr (%),cagr_1y (%),cagr_2y (%),cagr_3y (%),cagr_4y (%),cagr_5y (%),pvp,pvp_1y,pvp_2y,pvp_3y,pvp_4y,pvp_5y,dy (%)
JHSF - JHSF3,5.28,18929000,6850878000,Consumo Cíclico,Incorporações, 861546000, 497865000, 632100000,-999999,-999999,1559221000,23.72,2.00,2.28,2.67,2.24,-999999,-999999,18.55,15.78,9.41,13.42,-999999,-999999,12.17,8.44,1.57,3.37,2.92,8.39,5.21,-999999,-999999,4.39,10.62,21.40,20.56,-999999,-999999,-999999,0.62,0.46,0.79,0.70,-999999,-999999,7.05
COPASA - CSMG3,23.75,43851000,14341961000,Utilidade Pública,Água e Saneamento, 1316920000, 1379346000, 843362000,-999999,-999999,2079002000,51.12,1.82,1.89,1.44,1.52,-999999,-999999,16.80,16.36,18.21,11.63,-999999,-999999,11.83,21.82,3.67,6.50,6.01,5.65,7.07,-999999,-999999,6.90,11.29,11.79,18.97,8.52,-999999,-999999,1.09,0.98,1.03,0.82,-999999,-999999,6.91
GRENDENE - GRND3,5.44,11563000,3474685000,Consumo Cíclico,Calçados, 735236000, 557674000, 568027000,-999999,-999999,513701000,61.49,-2.38,-1.69,-2.22,-2.86,-999999,-999999,18.02,18.19,15.24,13.02,-999999,-999999,10.42,4.36,0.79,6.90,5.99,11.44,9.58,-999999,-999999,6.76,11.84,8.24,-0.97,-2.98,-999999,-999999,1.24,1.09,1.74,1.25,-999999,-999999,8.82
UNIPAR CARBOCLORO - UNIP6,60.25,7470000,7528113000,Materiais Básicos,Químicos Diversos, 557118000, 791273000, 1334300000,-999999,-999999,763429000,84.83,0.89,0.77,-0.06,-0.01,-999999,-999999,24.57,19.91,32.51,57.22,-999999,-999999,10.41,23.41,5.75,10.47,9.73,10.01,6.83,-999999,-999999,9.86,11.97,26.45,8.43,34.54,-999999,-999999,2.57,1.94,3.25,3.91,-999999,-999999,8.22
FRAS-LE - FRAS3,27.28,10353000,9381111000,Bens Industriais,Material Rodoviário, 374703000, 388731000, 203339000,-999999,-999999,594997000,42.71,2.57,0.37,-0.27,-0.32,-999999,-999999,15.38,16.57,20.53,11.61,-999999,-999999,9.49,7.89,1.21,22.47,15.05,12.16,12.67,-999999,-999999,15.77,13.01,62.77,34.43,25.95,-999999,-999999,3.46,2.49,2.50,1.47,-999999,-999999,1.90
FLEURY - FLRY3,13.06,31451000,10178181000,Saúde,"Serviços Médicos, Hospitalares, Análises e Diagnósticos", 603654000, 420823000, 308727000,-999999,-999999,1203702000,88.72,1.51,1.54,2.08,1.99,-999999,-999999,12.01,11.65,8.34,11.48,-999999,-999999,9.47,9.55,1.15,11.38,10.72,23.29,26.15,-999999,-999999,8.46,18.92,14.09,4.88,-0.75,-999999,-999999,1.37,1.25,1.94,3.00,-999999,-999999,7.77
SANEPAR - SAPR11,33.09,29796000,14684201000,Utilidade Pública,Água e Saneamento, 1545377000, 1503359000, 1151540000,-999999,-999999,2700471000,18.60,1.45,1.64,1.59,1.74,-999999,-999999,20.21,14.81,15.43,13.11,-999999,-999999,12.62,39.82,8.05,4.10,5.24,5.87,4.53,-999999,-999999,5.44,18.96,7.43,10.99,10.91,-999999,-999999,0.83,0.78,0.91,0.59,-999999,-999999,4.75
KEPLER WEBER - KEPL3,8.18,10378000,1417302000,Bens Industriais,Máquinas e Equipamentos Industriais, 199183000, 245214000, 382472000,-999999,-999999,251889000,85.83,-0.19,-0.28,-0.47,-0.40,-999999,-999999,24.17,26.89,33.77,64.04,-999999,-999999,17.24,3.97,0.96,8.53,8.40,8.01,4.73,-999999,-999999,5.63,20.60,39.60,96.93,-999999,-999999,-999999,2.06,2.26,2.70,3.03,-999999,-999999,10.14
BRASILAGRO - AGRO3,21.30,3088000,3773027000,Consumo não Cíclico,Agricultura, 280536000, 263578000, 142009000,-999999,-999999,399225000,51.61,3.33,2.66,2.42,1.42,-999999,-999999,14.27,12.74,13.34,6.92,-999999,-999999,9.34,21.13,3.01,7.05,8.10,10.41,21.66,-999999,-999999,9.45,22.82,22.44,2.69,19.90,-999999,-999999,1.01,1.03,1.39,1.50,-999999,-999999,7.33
CELULOSE IRANI - RANI3,7.86,4716000,2973503000,Materiais Básicos,Papel e Celulose, 304519000, 383434000, 378209000,-999999,-999999,352591000,49.26,2.01,2.11,1.54,1.09,-999999,-999999,22.84,22.28,29.96,33.62,-999999,-999999,8.07,5.89,1.35,5.83,5.37,6.83,5.10,-999999,-999999,8.43,28.31,-999999,163.63,-999999,-999999,-999999,1.33,1.20,2.05,1.72,-999999,-999999,8.47
